;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;26-Feb-26;77,64;81,75%;4,36;1,19;47,31;73,49;81,52;19,39%;;NTB00060;TANGKAMPULIT II;ADA;ADA;KEP0027;MUNJAN;;;;SP1;;;NTB00060;TANGKAMPULIT II;;NTB00060;TANGKAMPULIT II;;;;;
;;;;;Row Labels;Count of Site ID;;Row Labels;Count of Site ID;;;;27-Feb-26;77,56;81,83%;4,34;1,19;47,34;70,00;80,52;19,92%;;NTB00061;KALAJENA;ADA;ADA;KEP0028;MENGKAIT II;#N/A;VSAT;OK;NOK;;;NTB00061;KALAJENA;;NTB00061;KALAJENA;;;;;
;;;;;ADUAN;896;;CHINASAT11;3668;;;;28-Feb-26;78,21;82,70%;4,34;1,17;47,52;73,77;81,18;18,36%;;NTB00062;SENAWANG II;ADA;ADA;KEP0028;MENGKAIT II;;;;SP1;;;NTB00062;SENAWANG II;;NTB00062;SENAWANG II;;;;;
;;;;;BTS;1456;;EUTELSAT172B;4704;;;;Grand Total;77,26;82,17%;4,29;1,19;47,65;73,56;80,15;61,07%;;NTB00063;EKAS BUANA;ADA;ADA;KEP0029;TELAGA KECIL;#N/A;NO TIKET;OK;NOK;;;NTB00063;EKAS BUANA;;NTB00063;EKAS BUANA;;;;;
;;;;;CCTV;1540;;JCSAT-1C;2212;;;;;;;;;;;;;;NTB00065;RIWO;ADA;ADA;KEP0029;TELAGA KECIL;;;;SP1;;;NTB00065;RIWO;;NTB00065;RIWO;;;;;
;;;;;NO TIKET;13188;;MPSAT-2;1316;;;;;;;;;;;;;;NTB00067;OBEL - OBEL II;ADA;ADA;KEP0030;ULU MARAS;#N/A;VSAT;OK;NOK;;;NTB00067;OBEL - OBEL II;;NTB00067;OBEL - OBEL II;;;;;
;;;;;POWER;616;;MYSAT-1;672;;;;;;;;;;;;;;NTB00068;SAMBIK ELEN;ADA;ADA;KEP0030;ULU MARAS;;;;SP1;;;NTB00068;SAMBIK ELEN;;NTB00068;SAMBIK ELEN;;;;;
;;;;;VSAT;3612;;SES-12;2912;;;;;;;;;;;;;;NTB00070;PUNCAK JERINGO;ADA;ADA;KEP0031;GENTING PULUR;#N/A;NO TIKET;OK;NOK;;;NTB00070;PUNCAK JERINGO;;NTB00070;PUNCAK JERINGO;;;;;
;;;;;(blank);;;TELKOM3S;2408;;;;;;;;;;;;;;NTB00071;BATUDULANG II;ADA;ADA;KEP0031;GENTING PULUR;;;;SP1;;;NTB00071;BATUDULANG II;;NTB00071;BATUDULANG II;;;;;
;;;;;Grand Total;21308;;TELSTAR-18V;3416;;;;;;;;;;;;;;NTB00072;KEREKEH II;ADA;ADA;KEP0033;KERAMUT;#N/A;VSAT;OK;NOK;;;NTB00072;KEREKEH II;;NTB00072;KEREKEH II;;;;;
;;;;;;;;(blank);;;;;;;;;;;;;;;NTB00074;WOKO II;ADA;ADA;KEP0033;KERAMUT;;;;SP1;;;NTB00074;WOKO II;;NTB00074;WOKO II;;;;;
;;;;;;;;Grand Total;21308;;;;;;;;;;;;;;NTB00075;SEMINAR SALIT;ADA;ADA;KEP0034;SUNGGAK;#N/A;VSAT;OK;NOK;;;NTB00075;SEMINAR SALIT;;NTB00075;SEMINAR SALIT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB00079;PIONG;ADA;ADA;KEP0034;SUNGGAK;;;;SP1;;;NTB00079;PIONG;;NTB00079;PIONG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB00081;BUWUN MAS;ADA;ADA;KEP0035;LANDAK;#N/A;NO TIKET;OK;NOK;;;NTB00081;BUWUN MAS;;NTB00081;BUWUN MAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB00082;MERTAK;ADA;ADA;KEP0035;LANDAK;;;;SP1;;;NTB00082;MERTAK;;NTB00082;MERTAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0016;MAMA;ADA;ADA;KEP004;KUKUP;#N/A;NO TIKET;NOK;NOK;;;NTB0016;MAMA;;NTB0016;MAMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0017;KELAWIS;ADA;ADA;KEP004;KUKUP;;;;SP1;;;NTB0017;KELAWIS;;NTB0017;KELAWIS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0018;MUNGKIN;ADA;ADA;KEP0040;SEBELAT;#N/A;VSAT;OK;NOK;;;NTB0018;MUNGKIN;;NTB0018;MUNGKIN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0023;RABA BAKA;ADA;ADA;KEP0040;SEBELAT;;;;SP1;;;NTB0023;RABA BAKA;;NTB0023;RABA BAKA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0027;WOKO;ADA;ADA;KEP0041;BATU BERIAN;#N/A;VSAT;OK;NOK;;;NTB0027;WOKO;;NTB0027;WOKO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0030;MANGGE;NO LIST;ADA;KEP0041;BATU BERIAN;;;;SP1;;;NTB0040;KEREKEH;;NTB0030;MANGGE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0040;KEREKEH;ADA;ADA;KEP0043;JERMALIK;#N/A;VSAT;SP1;NOK;;;NTB0041;MAPIN KEBAK;;NTB0040;KEREKEH;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0041;MAPIN KEBAK;ADA;ADA;KEP0043;JERMALIK;;;;SP1;;;NTB0042;SAMPE;;NTB0041;MAPIN KEBAK;;;;;
