;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0303;ABATADI;NO LIST;NO LIST;NTT0057;SILAIPUI;;;;SP1;;;PAP1010;ARMNU;;PAP0744;IDAKOTU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0304;TAGIYA;ADA;ADA;NTT0058;TAMANAPUI;#N/A;VSAT;NOK;NOK;;;PAP1011;KARNINDI;;PAP0746;ABAIMAIDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0307;GANIATAKA;NO LIST;NO LIST;NTT0058;TAMANAPUI;;;;SP1;;;PAP1012;MAMBEORI;;PAP0748;DAWAIKUNU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0308;DUA DIDE;NO LIST;NO LIST;NTT00587;DOLULOLONG;#N/A;NO TIKET;OK;NOK;;;PAP1014;BIAWER;;PAP0768;DUNTEK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0316;BIBIDA;NO LIST;NO LIST;NTT00587;DOLULOLONG;;;;SP1;;;PAP1015;MANIRI;;PAP0793;BOKAIBUTU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0318;ODIYAI;NO LIST;NO LIST;NTT00588;WATOKOBU;#N/A;NO TIKET;OK;NOK;;;PAP1016;SAMBAWOFUAR;;PAP0796;PIYAKUNU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0321;KOLAITAGA;NO LIST;NO LIST;NTT00588;WATOKOBU;;;;SP1;;;PAP1017;RARMPIMBO;;PAP0805;KIGAMANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0322;DAMA DAMA;ADA;ADA;NTT0059;LELLA;#N/A;NO TIKET;NOK;NOK;;;PAP1018;SAMBERSUP;;PAP0806;IDADAGI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0328;TODIYA AIYAIKEBO;NO LIST;NO LIST;NTT0059;LELLA;;;;SP1;;;PAP1019;SANUMI;;PAP0807;DENEMANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0329;DADOU;NO LIST;NO LIST;NTT00594;PARALANDO;#N/A;VSAT;OK;NOK;;;PAP1021;AMYAMBENRAM;;PAP0808;MAKADIMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0330;BUA;ADA;ADA;NTT00594;PARALANDO;;;;SP1;;;PAP1022;WARBERIK;;PAP0912;YABA I;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0332;BUGU BUTU;NO LIST;NO LIST;NTT00595;WATU BAUR;#N/A;VSAT;OK;NOK;;;PAP1024;RAMDORI;;PAP0913;WAGHETE II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0333;DOGOMOUTO;ADA;ADA;NTT00595;WATU BAUR;;;;SP1;;;PAP1025;SASWARBO;;PAP0915;OKOMOKEBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0334;NOMOKOPETA;ADA;ADA;NTT00598;MOCOK;#N/A;VSAT;OK;NOK;;;PAP1026;ANJAREUW;;PAP0917;ATOUDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0335;EUGAI;ADA;ADA;NTT00598;MOCOK;;;;SP1;;;PAP1027;MARYENDI;;PAP0918;ONEIBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0336;DEGATADI;NO LIST;NO LIST;NTT00599;LEMBUR TIMUR;#N/A;NO TIKET;NOK;NOK;;;PAP1044;YAWERMA;;PAP0925;AMAGO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0337;OWOYUPI;NO LIST;NO LIST;NTT00599;LEMBUR TIMUR;;;;SP1;;;PAP1045;DAKABADO;;PAP0928;DAMABAGATA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0338;WEGEKEBO;NO LIST;NO LIST;NTT0060;TANGLAPUI TIMUR;#N/A;NO TIKET;NOK;NOK;;;PAP1048;MARYAIDORI;;PAP0930;DAKEBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0339;YINUTADI;NO LIST;NO LIST;NTT0060;TANGLAPUI TIMUR;;;;SP1;;;PAP1049;KOBARI JAYA;;PAP0931;BAGOU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0354;WOTAI;NO LIST;NO LIST;NTT00600;ELOK;#N/A;NO TIKET;NOK;NOK;;;PAP1051;AIR MANDIDI;;PAP0939;IDAYODAGI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0355;KENIAPA;NO LIST;NO LIST;NTT00600;ELOK;;;;SP1;;;PAP1052;HUMBEHAWAI;;PAP0943;YEWADIDE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0361;EDIKUMEIDA;ADA;ADA;NTT00602;KENARIMBALA;#N/A;NO TIKET;OK;NOK;;;PAP1056;SAWADORI;;PAP0946;GAKOKEBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0369;IYOBADO;NO LIST;NO LIST;NTT00602;KENARIMBALA;;;;SP1;;;PAP1058;DIMI;;PAP0949;ONAGO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0390;TAMUGAUWO;ADA;ADA;NTT00605;TARAMANA;#N/A;VSAT;NOK;NOK;;;PAP1059;MANGGONSWAN;;PAP0950;WAGOMANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0392;DEI;ADA;ADA;NTT00605;TARAMANA;;;;SP1;;;PAP1064;WARYEI;;PAP0951;DIGIBAGATA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0397;PUGOWOGE;ADA;ADA;NTT00606;MAUSAMANG;#N/A;VSAT;NOK;NOK;;;PAP1065;WAFOR;;PAP0954;TENEDAGI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0398;BOBA;NO LIST;NO LIST;NTT00606;MAUSAMANG;;;;SP1;;;PAP1068;YAPANANI;;PAP0963;KOGEMANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0438;YOUTADI;ADA;ADA;NTT0061;LIPPANG;#N/A;NO TIKET;NOK;NOK;;;PAP1069;ASARKIR;;PAP0984;ARURI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0440;YUMAUWO;ADA;ADA;NTT0061;LIPPANG;;;;SP1;;;PAP1070;INMDI;;PAP0990;KAMANAP;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0441;YOUTADI (II);ADA;ADA;NTT00616;WOLOKOTA;#N/A;NO TIKET;NOK;NOK;;;PAP1074;WATIYAI;;PAP1000;KUMPEKI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0470;EKAUWIYA;ADA;ADA;NTT00616;WOLOKOTA;;;;SP1;;;PAP1075;EGEPAKIGIDA;;PAP1002;WADERBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0471;DEBAKEBOUDA;NO LIST;NO LIST;NTT0062;KALONDAMA;#N/A;VSAT;OK;NOK;;;PAP1079;MANUNGGAL JAYA II;;PAP1003;WADIBU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0474;OKONOBAIDA;NO LIST;NO LIST;NTT0062;KALONDAMA;;;;SP1;;;PAP1081;NIFASI II;;PAP1004;AFEFBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0475;BAGUWO;ADA;ADA;NTT00620;KIRAMAN;#N/A;VSAT;NOK;NOK;;;PAP1082;NAPAN YAUR II;;PAP1005;SAURI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0480;SAURI SIRAMI;ADA;ADA;NTT00620;KIRAMAN;;;;SP1;;;PAP1083;BIHA II;;PAP1007;SOON;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0483;KALI BARU;ADA;ADA;NTT00622;AIR MANCUR;#N/A;VSAT;NOK;NOK;;;PAP1084;AKUDIOMI II;;PAP1008;SEPSE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0500;UNAREU;ADA;ADA;NTT00622;AIR MANCUR;;;;SP1;;;PAP1085;AKUDIOMI III;;PAP1010;ARMNU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0538;NAU;ADA;ADA;NTT00622;AIR MANCUR;S1 link  fault;VSAT;NOK;NOK;;;PAP1086;WAMI;;PAP1011;KARNINDI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0581;ODORI;NO LIST;NO LIST;NTT00622;AIR MANCUR;;;;SP1;;;PAP1087;NIFASI III;;PAP1012;MAMBEORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0582;BINIKI;NO LIST;NO LIST;NTT00624;REKA;#N/A;NO TIKET;NOK;NOK;;;PAP1092;YERMEKI;;PAP1014;BIAWER;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0583;DIDIABOLO;NO LIST;NO LIST;NTT00624;REKA;;;;SP1;;;PAP1094;BURATE DAEWA;;PAP1015;MANIRI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0589;WONGKEINA;NO LIST;ADA;NTT00625;NIRAMESI;#N/A;VSAT;NOK;NOK;;;PAP1095;OIFASANO;;PAP1016;SAMBAWOFUAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0590;YAMNAISU;NO LIST;NO LIST;NTT00625;NIRAMESI;;;;SP1;;;PAP1096;KARIRA;;PAP1017;RARMPIMBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0591;IMBIRSBARI;ADA;ADA;NTT00630;LIKANAKA;#N/A;VSAT;NOK;NOK;;;PAP1098;PIRO 2;;PAP1018;SAMBERSUP;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0592;INEKI;ADA;ADA;NTT00630;LIKANAKA;;;;SP1;;;PAP1102;RONDISI III;;PAP1019;SANUMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0593;INSUMBREI;ADA;ADA;NTT00632;BAKALEREK;#N/A;ADUAN;OK;NOK;;;PAP1103;RONDISI IV;;PAP1021;AMYAMBENRAM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0594;KOIRYAKAM;NO LIST;ADA;NTT00632;BAKALEREK;;;;SP1;;;PAP1109;SAUYAS;;PAP1022;WARBERIK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0595;WAYORI;ADA;ADA;NTT00633;BAOBOLAK;#N/A;VSAT;OK;NOK;;;PAP1113;WONGKEINA III;;PAP1024;RAMDORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0596;AMYAS;ADA;ADA;NTT00633;BAOBOLAK;;;;SP1;;;PAP1114;WONGKEINA II;;PAP1025;SASWARBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0597;NAPINSDI;NO LIST;NO LIST;NTT00634;SAHAN;#N/A;NO TIKET;NOK;NOK;;;PAP1115;YAMNAISU II;;PAP1026;ANJAREUW;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0598;MASYAI;ADA;ADA;NTT00634;SAHAN;;;;SP1;;;PAP1118;KOIRYAKAM II;;PAP1027;MARYENDI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0618;DOUFO;NO LIST;ADA;NTT00635;KUALIN;#N/A;VSAT;OK;NOK;;;PAP1121;WARBOR II;;PAP1028;MAKUKER;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0620;WAHUKA;NO LIST;ADA;NTT00635;KUALIN;;;;SP1;;;PAP1122;WARSA II;;PAP1044;YAWERMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0649;KORDESI;ADA;ADA;NTT00636;FATULUNU;#N/A;NO TIKET;NOK;NOK;;;PAP1125;MARSRAM I;;PAP1045;DAKABADO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0740;MAUWA;NO LIST;NO LIST;NTT00636;FATULUNU;;;;SP1;;;PAP1126;MARSRAM II;;PAP1048;MARYAIDORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0743;DIKIYOUWA;ADA;ADA;NTT00638;WELAI SELATAN;#N/A;BTS;SP1;SP1;;;PAP1127;MARSRAM III;;PAP1049;KOBARI JAYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0744;IDAKOTU;ADA;ADA;NTT00638;WELAI SELATAN;ENB power cut off notification;BTS;SP1;SP1;;;PAP1129;DUBER II;;PAP1051;AIR MANDIDI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0746;ABAIMAIDA;ADA;ADA;NTT0064;MATARU TIMUR;#N/A;VSAT;NOK;NOK;;;PAP1130;AMYAS II;;PAP1052;HUMBEHAWAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0748;DAWAIKUNU;NO LIST;ADA;NTT0064;MATARU TIMUR;;;;SP1;;;PAP1133;AIBA;;PAP1056;SAWADORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0761;PUGATADI I;NO LIST;NO LIST;NTT00641;MOLE;#N/A;ADUAN;NOK;NOK;;;PAP1134;WARYEI II;;PAP1058;DIMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0763;IKRAR;NO LIST;NO LIST;NTT00641;MOLE;;;;SP1;;;PAP1135;IREI;;PAP1059;MANGGONSWAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0764;OBAYO;NO LIST;NO LIST;NTT00642;WOLOGAI DUA;#N/A;NO TIKET;OK;NOK;;;PAP1136;KIRAWA;;PAP1064;WARYEI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0765;KUYAKAGO;NO LIST;NO LIST;NTT00642;WOLOGAI DUA;;;;SP1;;;PAP1137;NANI POKEY;;PAP1065;WAFOR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0766;MOGOU;NO LIST;NO LIST;NTT00644;BOKASAPE TIMUR;#N/A;NO TIKET;NOK;NOK;;;PAP1138;NAPISNDI II;;PAP1068;YAPANANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0767;YAMETADI;NO LIST;NO LIST;NTT00644;BOKASAPE TIMUR;;;;SP1;;;PAP1140;ADOKI;;PAP1069;ASARKIR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0768;DUNTEK;ADA;ADA;NTT00645;CAMBIR LECA;#N/A;NO TIKET;OK;NOK;;;PAP1141;INMDI II;;PAP1070;INMDI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0769;EKIMANI;NO LIST;NO LIST;NTT00645;CAMBIR LECA;;;;SP1;;;PAP1142;KOYOMI;;PAP1074;WATIYAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0793;BOKAIBUTU;NO LIST;ADA;NTT00646;PRAIPAHA;#N/A;VSAT;NOK;NOK;;;PAP1143;ARMNU II;;PAP1075;EGEPAKIGIDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0796;PIYAKUNU;ADA;ADA;NTT00646;PRAIPAHA;;;;SP1;;;PAP1144;ROIDIFU II;;PAP1079;MANUNGGAL JAYA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0805;KIGAMANI;ADA;ADA;NTT00648;PEPU WATU;#N/A;VSAT;OK;NOK;;;PAP1145;NAPISNDI III;;PAP1080;SAMABUSA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0806;IDADAGI;ADA;ADA;NTT00648;PEPU WATU;;;;SP1;;;PAP1149;IMBIRSBARI II;;PAP1081;NIFASI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0807;DENEMANI;ADA;ADA;NTT00649;BIDI HUNGA;#N/A;NO TIKET;NOK;NOK;;;PAP1150;YAMNAISU III;;PAP1082;NAPAN YAUR II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0808;MAKADIMI;ADA;ADA;NTT00649;BIDI HUNGA;;;;SP1;;;PAP1156;WARYEI III;;PAP1083;BIHA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0810;MOTITO;NO LIST;NO LIST;NTT00650;ILE BOLI;#N/A;VSAT;OK;NOK;;;PAP1184;TANJUNG BARARI III;;PAP1084;AKUDIOMI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0912;YABA I;ADA;ADA;NTT00650;ILE BOLI;;;;SP1;;;PAP1185;TANJUNG BARARI II;;PAP1085;AKUDIOMI III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0913;WAGHETE II;ADA;ADA;NTT00651;PASIR PUTIH;#N/A;NO TIKET;OK;NOK;;;PAP1186;WOTOA;;PAP1086;WAMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0914;BOMOU I;NO LIST;NO LIST;NTT00651;PASIR PUTIH;;;;SP1;;;PAP1198;WANGGAR PANTAI;;PAP1087;NIFASI III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0915;OKOMOKEBO;ADA;ADA;NTT00655;SEMANG;#N/A;NO TIKET;OK;NOK;;;PAP1202;MARYAIDORI II;;PAP1089;TADAUTO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0916;BOMOU II;NO LIST;NO LIST;NTT00655;SEMANG;;;;SP1;;;PAP1208;WAFOR II;;PAP1092;YERMEKI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0917;ATOUDA;NO LIST;ADA;NTT00657;PERSIAPAN NANGA BUNTAL;#N/A;VSAT;NOK;NOK;;;PAP1216;ARIEPI III;;PAP1094;BURATE DAEWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0918;ONEIBO;ADA;ADA;NTT00657;PERSIAPAN NANGA BUNTAL;;;;SP1;;;PAP1217;AMPIMOI II;;PAP1095;OIFASANO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0921;OKOMOTADI;NO LIST;NO LIST;NTT00658;LENCUR;#N/A;NO TIKET;NOK;NOK;;;PAP1218;RAYORI;;PAP1096;KARIRA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0925;AMAGO;ADA;ADA;NTT00658;LENCUR;;;;SP1;;;PAP1219;SAURI II;;PAP1098;PIRO 2;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0926;IDEGEE;NO LIST;NO LIST;NTT00659;GOLO WUAS;#N/A;NO TIKET;OK;NOK;;;PAP1220;SOPENDO SUP KARKIR;;PAP1102;RONDISI III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0927;PEKU;NO LIST;NO LIST;NTT00659;GOLO WUAS;;;;SP1;;;PAP1221;DARMORPIS DARFUAR;;PAP1103;RONDISI IV;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0928;DAMABAGATA;ADA;ADA;NTT0066;TAMAN MATARU;#N/A;VSAT;NOK;NOK;;;PAP1224;NERMNU II;;PAP1109;SAUYAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0930;DAKEBO;ADA;ADA;NTT0066;TAMAN MATARU;;;;SP1;;;PAP1225;MAKMAKERBO II;;PAP1113;WONGKEINA III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0931;BAGOU;ADA;ADA;NTT00661;SIPI;#N/A;NO TIKET;OK;NOK;;;PAP1241;SAMABUSA II;;PAP1114;WONGKEINA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0932;DAGOKEBO;NO LIST;NO LIST;NTT00661;SIPI;;;;SP1;;;PAP1242;WAROKI;;PAP1115;YAMNAISU II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0933;IPOKE;NO LIST;NO LIST;NTT00663;IDALOLONG;#N/A;NO TIKET;OK;NOK;;;PAP1457;KANAWA II;;PAP1118;KOIRYAKAM II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0936;BAGUMOMA;NO LIST;NO LIST;NTT00663;IDALOLONG;;;;SP1;;;PAP1458;AKUDIOMI - MARMER;;PAP1121;WARBOR II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0939;IDAYODAGI;ADA;ADA;NTT00665;PADANG PANJANG;#N/A;NO TIKET;NOK;NOK;;;PAP1459;AKUDIOMI - AHYERI;;PAP1122;WARSA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0940;KOPAI I;NO LIST;NO LIST;NTT00665;PADANG PANJANG;;;;SP1;;;PAP1460;AKUDIOMI - WAUBU;;PAP1125;MARSRAM I;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0943;YEWADIDE;ADA;ADA;NTT00666;OFU;#N/A;VSAT;NOK;NOK;;;PAP1461;TATUI II;;PAP1126;MARSRAM II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0944;MUDETADI;NO LIST;NO LIST;NTT00666;OFU;;;;SP1;;;PAP1466;AKUDIOMI - PANTAI  IRUI;;PAP1127;MARSRAM III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0945;DIITA;NO LIST;NO LIST;NTT00667;BAOLANGU;#N/A;VSAT;OK;NOK;;;PAP1468;MOOR - TANJUNG TIROINE;;PAP1129;DUBER II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0946;GAKOKEBO;ADA;ADA;NTT00667;BAOLANGU;;;;SP1;;;RIA00010;TANJUNG DARUL TAKZIM;;PAP1130;AMYAS II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0947;DEMAGO;NO LIST;NO LIST;NTT00668;UITIUH TUAN;#N/A;NO TIKET;NOK;NOK;;;RIA00012;SUNGAI TENGAH;;PAP1133;AIBA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0949;ONAGO;ADA;ADA;NTT00668;UITIUH TUAN;;;;SP1;;;RIA001;HUTAN AYU;;PAP1134;WARYEI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0950;WAGOMANI;ADA;ADA;NTT00674;TONGGO PAPA;#N/A;NO TIKET;NOK;NOK;;;RIA007;PULAU JEMUR;;PAP1135;IREI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0951;DIGIBAGATA;ADA;ADA;NTT00674;TONGGO PAPA;;;;SP1;;;SMB00012;SIMALEGI II;;PAP1136;KIRAWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0952;PIYAKADEMI;NO LIST;NO LIST;NTT00675;OEMATAMBOLI;#N/A;NO TIKET;NOK;NOK;;;SMB00013;MA.SIKABALUAN;;PAP1137;NANI POKEY;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0954;TENEDAGI;ADA;ADA;NTT00675;OEMATAMBOLI;;;;SP1;;;SMB00014;SAUMANGANYA II;;PAP1138;NAPISNDI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0958;YAGU;NO LIST;NO LIST;NTT00676;GOLO RUTUK;#N/A;NO TIKET;NOK;NOK;;;SMB00015;MADOBAG II;;PAP1140;ADOKI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0963;KOGEMANI;ADA;ADA;NTT00676;GOLO RUTUK;;;;SP1;;;SMB00016;SIGAPOKNA II;;PAP1141;INMDI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0964;DIGIKOTU;NO LIST;NO LIST;NTT00677;WATUDIRAN;#N/A;NO TIKET;NOK;NOK;;;SMB00017;CIMPUNGAN II;;PAP1142;KOYOMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0966;EPANAI;NO LIST;NO LIST;NTT00677;WATUDIRAN;;;;SP1;;;SMB001;MARA;;PAP1143;ARMNU II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0968;MOGODADI;NO LIST;NO LIST;NTT00677;WATUDIRAN;NE Disconnected;NO TIKET;NOK;NOK;;;SMB0010;BULASAT;;PAP1144;ROIDIFU II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0969;YAMOUWITINA;NO LIST;NO LIST;NTT00677;WATUDIRAN;;;;SP1;;;SMB0011;MAKALO;;PAP1145;NAPISNDI III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0984;ARURI;ADA;ADA;NTT00678;TUWA;#N/A;VSAT;NOK;NOK;;;SMB002;SIOBAN;;PAP1149;IMBIRSBARI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP0990;KAMANAP;NO LIST;ADA;NTT00678;TUWA;;;;SP1;;;SMB009;TAIKAKO;;PAP1150;YAMNAISU III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1000;KUMPEKI;ADA;ADA;NTT00679;WOLODHESA;#N/A;NO TIKET;OK;NOK;;;SMU00067;HAYO;;PAP1156;WARYEI III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1002;WADERBO;ADA;ADA;NTT00679;WOLODHESA;;;;SP1;;;SMU00070;SIBARANUN;;PAP1184;TANJUNG BARARI III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1003;WADIBU;ADA;ADA;NTT00680;ILIN MEDO;#N/A;VSAT;NOK;NOK;;;SMU00071;SIGESE;;PAP1185;TANJUNG BARARI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1004;AFEFBO;ADA;ADA;NTT00680;ILIN MEDO;;;;SP1;;;SMU00072;SIFITU EWALI;;PAP1186;WOTOA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1005;SAURI;ADA;ADA;NTT00681;ARANSINA;#N/A;NO TIKET;NOK;NOK;;;SMU00074;SEBUA'ASI;;PAP1198;WANGGAR PANTAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1006;SAWA;NO LIST;NO LIST;NTT00681;ARANSINA;;;;SP1;;;SMU00077;BINTUANG;;PAP1202;MARYAIDORI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1007;SOON;ADA;ADA;NTT00682;HALE;#N/A;VSAT;SP1;NOK;;;SMU00079;BINTANG BARU;;PAP1208;WAFOR II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1008;SEPSE;ADA;ADA;NTT00682;HALE;;;;SP1;;;SMU00080;ORAHUA ULUZOI;;PAP1216;ARIEPI III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1009;SUNDE;NO LIST;NO LIST;NTT00682;HALE;ENB power cut off notification;VSAT;SP1;NOK;;;SMU00082;SIWALUBANUA;;PAP1217;AMPIMOI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1010;ARMNU;ADA;ADA;NTT00682;HALE;;;;SP1;;;SMU00083;HILIORAHUA TASUA;;PAP1218;RAYORI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1011;KARNINDI;ADA;ADA;NTT00683;NDUNGGA;#N/A;NO TIKET;NOK;NOK;;;SMU00085;SILIMA BANUA UMBUNASI;;PAP1219;SAURI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1012;MAMBEORI;ADA;ADA;NTT00683;NDUNGGA;;;;SP1;;;SMU00088;ORAHILI BOE;;PAP1220;SOPENDO SUP KARKIR;;;;;
