;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;NTB00075;SEMINAR SALIT;96,56571429;99,50857143;97,1;100;54,16;67,39;97,91;97,91;99,94;99,66;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,33;100,00%;;NTB00075;SEMINAR SALIT;96,57;99,51;97,10;100;54,16;67,39;97,91;97,91;99,94;99,66;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,33;100,00%;;;;;;;;;;;;;
;;;NTB00079;PIONG;98,74428571;99,75285714;99,62142857;100;58,33;67,7;97,91;99,97;99,92;99,77;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,80;100,00%;;NTB00079;PIONG;98,74;99,75;99,62;100;58,33;67,7;97,91;99,97;99,92;99,77;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,80;100,00%;;;;;;;;;;;;;
;;;NTB00081;BUWUN MAS;88,63571429;98,02714286;95,27142857;97,23;47,61;65,96;95,45;99;96,18;94,11;0,998511905;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;91,75;99,96%;;NTB00081;BUWUN MAS;88,64;98,03;95,27;97,23;47,61;65,96;95,45;99;96,18;94,11;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;91,75;99,96%;;;;;;;;;;;;;
;;;NTB00082;MERTAK;98,54142857;99,71571429;98,79857143;100;58,33;64,58;96,4;99,95;99,95;99,82;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,37;100,00%;;NTB00082;MERTAK;98,54;99,72;98,80;100;58,33;64,58;96,4;99,95;99,95;99,82;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,37;100,00%;;;;;;;;;;;;;
;;;NTB0016;MAMA;99,75714286;99,62;99,49571429;99,85;49,7;72,86;95,36;99,92;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,78;100,00%;;NTB0016;MAMA;99,76;99,62;99,50;99,85;49,7;72,86;95,36;99,92;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,78;100,00%;;;;;;;;;;;;;
;;;NTB0017;KELAWIS;99,92;99,91857143;99,66857143;99,97;57,33;69,42;96,74;99,95;100;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,14;100,00%;;NTB0017;KELAWIS;99,92;99,92;99,67;99,97;57,33;69,42;96,74;99,95;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,14;100,00%;;;;;;;;;;;;;
;;;NTB0018;MUNGKIN;99,93142857;25,11571429;0;8,62;55,21;57,12;90,38;87,02;20;0;1;0,25297619;0;0,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;42,63;52,75%;;NTB0018;MUNGKIN;99,93;25,12;0,00;8,62;55,21;57,12;90,38;87,02;20;0;100,00%;25,30%;0,00%;0,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;42,63;52,75%;;;;;;;;;;;;;
;;;NTB0023;RABA BAKA;99,48142857;99,69142857;99,51;99,51;62,12;68,75;96,12;100;99,92;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,04;100,00%;;NTB0023;RABA BAKA;99,48;99,69;99,51;99,51;62,12;68,75;96,12;100;99,92;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,04;100,00%;;;;;;;;;;;;;
;;;NTB0027;WOKO;99,94857143;99,97714286;99,97142857;100;62,5;70,78;96,87;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,48;100,00%;;NTB0027;WOKO;99,95;99,98;99,97;100;62,5;70,78;96,87;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,48;100,00%;;;;;;;;;;;;;
;;;NTB0030;MANGGE;99,77285714;98,84571429;99,44714286;99,09;62,38;70,83;97,16;100;99,96;99,27;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,97;100,00%;;NTB0030;MANGGE;99,77;98,85;99,45;99,09;62,38;70,83;97,16;100;99,96;99,27;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,97;100,00%;;;;;;;;;;;;;
;;;NTB0040;KEREKEH;99,95571429;99,87714286;99,66857143;99,97;49,74;70,8;96,74;99,9;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,92;100,00%;;NTB0040;KEREKEH;99,96;99,88;99,67;99,97;49,74;70,8;96,74;99,9;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,92;100,00%;;;;;;;;;;;;;
;;;NTB0041;MAPIN KEBAK;99,89;99,90571429;99,66857143;99,2;61,61;70,8;96,77;99,86;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,30;100,00%;;NTB0041;MAPIN KEBAK;99,89;99,91;99,67;99,2;61,61;70,8;96,77;99,86;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,30;100,00%;;;;;;;;;;;;;
;;;NTB0042;SAMPE;99,91285714;99,95428571;99,69142857;99,97;53,89;70,81;96,74;99,75;40,62;0;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;91,38;100,00%;;NTB0042;SAMPE;99,91;99,95;99,69;99,97;53,89;70,81;96,74;99,75;40,62;0;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;91,38;100,00%;;;;;;;;;;;;;
;;;NTB0043;LENANGGUAR;99,94142857;99,93714286;99,72857143;99,97;57,59;70,8;96,76;99,65;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;NTB0043;LENANGGUAR;99,94;99,94;99,73;99,97;57,59;70,8;96,76;99,65;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;;;;;;;;;;;;
;;;NTB0044;DESA BATUROTOK;99,94857143;99,94428571;99,70857143;99,97;54,06;70,8;4,16;72,93;100;99,97;1;1;1;100,00%;100,00%;100,00%;6,25%;73,96%;100,00%;100,00%;92,83;95,72%;;NTB0044;DESA BATUROTOK;99,95;99,94;99,71;99,97;54,06;70,8;4,16;72,93;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;6,25%;73,96%;100,00%;100,00%;92,83;95,72%;;;;;;;;;;;;;
;;;NTB0045;KELUNGKUNG;99,92142857;99,88857143;99,70714286;99,97;49,88;71,85;96,71;99,79;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,96;100,00%;;NTB0045;KELUNGKUNG;99,92;99,89;99,71;99,97;49,88;71,85;96,71;99,79;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,96;100,00%;;;;;;;;;;;;;
;;;NTB0047;DORO O'O;94,07714286;97,37571429;27,99142857;0;0;0;0;0;0;0;1;0,998511905;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;54,86;99,96%;;NTB0047;DORO O'O;94,08;97,38;27,99;0;0;0;0;0;0;0;100,00%;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;54,86;99,96%;;;;;;;;;;;;;
;;;NTB0049;HU'U;99,69714286;99,22428571;99,45;99,35;61,91;71,87;96,12;100;100;99,15;1;0,998511905;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,04;99,96%;;NTB0049;HU'U;99,70;99,22;99,45;99,35;61,91;71,87;96,12;100;100;99,15;100,00%;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,04;99,96%;;;;;;;;;;;;;
;;;NTB0050;KRAMAT;99,93571429;99,84142857;99,52714286;99,66;62,4;70,83;97,86;100;100;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,35;100,00%;;NTB0050;KRAMAT;99,94;99,84;99,53;99,66;62,4;70,83;97,86;100;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,35;100,00%;;;;;;;;;;;;;
;;;NTB0052;KARAMPI;99,69;99,34428571;99,26714286;100;54,16;71,76;97,48;99,95;99,92;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,84;100,00%;;NTB0052;KARAMPI;99,69;99,34;99,27;100;54,16;71,76;97,48;99,95;99,92;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,84;100,00%;;;;;;;;;;;;;
;;;NTB0053;KANGGA;99,55285714;99,59142857;98,47285714;99,59;62,39;68,64;95,08;100;99,01;99,57;1;1;0,991071429;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,70;99,78%;;NTB0053;KANGGA;99,55;99,59;98,47;99,59;62,39;68,64;95,08;100;99,01;99,57;100,00%;100,00%;99,11%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,70;99,78%;;;;;;;;;;;;;
;;;NTB0056;KABORO;99,58857143;32,88285714;0;0;0;0;0;0;0;0;1;0,37202381;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;33,12;34,30%;;NTB0056;KABORO;99,59;32,88;0,00;0;0;0;0;0;0;0;100,00%;37,20%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;33,12;34,30%;;;;;;;;;;;;;
;;;NTB00623;KAWUWU;99,45428571;99,72571429;99,40142857;99,67;50;71,65;96,12;100;99,92;99,56;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,68;100,00%;;NTB00623;KAWUWU;99,45;99,73;99,40;99,67;50;71,65;96,12;100;99,92;99,56;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,68;100,00%;;;;;;;;;;;;;
;;;NTB00625;TARLAWI;99,80571429;99,57571429;13,98714286;60,4;58,33;70,83;95,83;100;100;99,47;1;1;0,15922619;0,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;74,23;75,41%;;NTB00625;TARLAWI;99,81;99,58;13,99;60,4;58,33;70,83;95,83;100;100;99,47;100,00%;100,00%;15,92%;0,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;74,23;75,41%;;;;;;;;;;;;;
;;;NTT00104;NUANGENDA;99,32142857;99,97;99,73714286;99,89;53,9;70,8;96,74;99,95;100;100;0,998511905;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,95;99,96%;;NTT00104;NUANGENDA;99,32;99,97;99,74;99,89;53,9;70,8;96,74;99,95;100;100;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,95;99,96%;;;;;;;;;;;;;
;;;NTT0011;LETKOLE;99,43857143;99,66142857;99,08714286;99,64;66,25;68,72;97,46;99,95;100;99,01;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,08;100,00%;;NTT0011;LETKOLE;99,44;99,66;99,09;99,64;66,25;68,72;97,46;99,95;100;99,01;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,08;100,00%;;;;;;;;;;;;;
;;;NTT00116;DETUWULU;99,76142857;99,94142857;99,71857143;99,97;54,06;69,76;97,75;99,95;100;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,05;100,00%;;NTT00116;DETUWULU;99,76;99,94;99,72;99,97;54,06;69,76;97,75;99,95;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,05;100,00%;;;;;;;;;;;;;
;;;NTT00118;KEBIRANGGA SELATAN;97;15,25285714;0,06;0;0;68,46;95,44;97,07;96,25;97,79;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;44,33;100,00%;;NTT00118;KEBIRANGGA SELATAN;97,00;15,25;0,06;0;0;68,46;95,44;97,07;96,25;97,79;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;44,33;100,00%;;;;;;;;;;;;;
;;;NTT0012;NEFONEUT;99,65714286;99,83714286;99,00142857;99,66;66,25;69,76;96,2;99,64;100;99,44;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;NTT0012;NEFONEUT;99,66;99,84;99,00;99,66;66,25;69,76;96,2;99,64;100;99,44;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;;;;;;;;;;;;
;;;NTT00127;NIOPANDA;99,43428571;99,88714286;99,69857143;99,97;58,06;71,84;97,79;99,95;99,67;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;NTT00127;NIOPANDA;99,43;99,89;99,70;99,97;58,06;71,84;97,79;99,95;99,67;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;;;;;;;;;;;;
;;;NTT00130;LISELANDE;99,87428571;99,91428571;99,70428571;99,97;58,22;70,8;98,78;99,95;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,29;100,00%;;NTT00130;LISELANDE;99,87;99,91;99,70;99,97;58,22;70,8;98,78;99,95;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,29;100,00%;;;;;;;;;;;;;
;;;NTT00134;TIWUSORA;50,94857143;34,30714286;0;0;0;0;0;0;0;0;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;21,31;100,00%;;NTT00134;TIWUSORA;50,95;34,31;0,00;0;0;0;0;0;0;0;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;21,31;100,00%;;;;;;;;;;;;;
;;;NTT00137;LUNGAR;99,94428571;98,61142857;71,14;99,58;54,16;0;50,87;100;100;100;1;0,991071429;0,71577381;42,71%;62,50%;0,00%;53,13%;100,00%;100,00%;100,00%;85,45;84,04%;;NTT00137;LUNGAR;99,94;98,61;71,14;99,58;54,16;0;50,87;100;100;100;100,00%;99,11%;71,58%;42,71%;62,50%;0,00%;53,13%;100,00%;100,00%;100,00%;85,45;84,04%;;;;;;;;;;;;;
;;;NTT00138;KOAK;99,89857143;99,80428571;99,53142857;99,37;58,33;71,87;95,79;100;99,92;99,94;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,14;100,00%;;NTT00138;KOAK;99,90;99,80;99,53;99,37;58,33;71,87;95,79;100;99,92;99,94;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,14;100,00%;;;;;;;;;;;;;
;;;NTT00139;LANGGO;99,81285714;86,16142857;0;0;0;0;0;0;0;0;1;0,864583333;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;46,49;46,61%;;NTT00139;LANGGO;99,81;86,16;0,00;0;0;0;0;0;0;0;100,00%;86,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;46,49;46,61%;;;;;;;;;;;;;
;;;NTT00140;TADO;98,91857143;99,82;99,70285714;100;62,5;68,75;96,12;99,97;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;NTT00140;TADO;98,92;99,82;99,70;100;62,5;68,75;96,12;99,97;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;;;;;;;;;;;;
;;;NTT00142;SATAR LOUNG;99,89714286;99,80428571;99,57714286;99,72;58,2;68,75;97,91;100;99,97;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,12;100,00%;;NTT00142;SATAR LOUNG;99,90;99,80;99,58;99,72;58,2;68,75;97,91;100;99,97;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,12;100,00%;;;;;;;;;;;;;
;;;NTT00151;SATAR LUJU;99,93285714;99,83285714;99,58;99,65;58,23;69,79;97,89;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;NTT00151;SATAR LUJU;99,93;99,83;99,58;99,65;58,23;69,79;97,89;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;;;;;;;;;;;;
;;;NTT00152;SATAR LENDA;99,85857143;99,46285714;99,44285714;99,51;58,33;71,87;94,3;99,97;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,98;100,00%;;NTT00152;SATAR LENDA;99,86;99,46;99,44;99,51;58,33;71,87;94,3;99,97;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,98;100,00%;;;;;;;;;;;;;
;;;NTT00153;SATAR RUWUK;99,85571429;99,57142857;99,42714286;99,28;52,08;70,83;97,6;100;99,74;99,84;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,83;100,00%;;NTT00153;SATAR RUWUK;99,86;99,57;99,43;99,28;52,08;70,83;97,6;100;99,74;99,84;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,83;100,00%;;;;;;;;;;;;;
;;;NTT00154;NUCA MOLAS;99,92857143;99,89;99,69428571;99,85;58,03;70,8;96,95;99,95;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;NTT00154;NUCA MOLAS;99,93;99,89;99,69;99,85;58,03;70,8;96,95;99,95;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;;;;;;;;;;;;
;;;NTT00155;BORIK;99,95285714;99,83142857;99,71714286;99,97;57,81;71,84;97,35;99,88;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,26;100,00%;;NTT00155;BORIK;99,95;99,83;99,72;99,97;57,81;71,84;97,35;99,88;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,26;100,00%;;;;;;;;;;;;;
;;;NTT00156;WONGKA;99,93142857;99,79714286;99,55571429;99,78;58,21;69,27;95,59;100;99,92;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,06;100,00%;;NTT00156;WONGKA;99,93;99,80;99,56;99,78;58,21;69,27;95,59;100;99,92;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,06;100,00%;;;;;;;;;;;;;
;;;NTT00158;KAJONG;99,40285714;98,11428571;99,11857143;98,42;62,39;72,85;95,08;100;99,89;99,94;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,61;100,00%;;NTT00158;KAJONG;99,40;98,11;99,12;98,42;62,39;72,85;95,08;100;99,89;99,94;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,61;100,00%;;;;;;;;;;;;;
;;;NTT00159;TO'E;99,52285714;98,46714286;99,28;96,87;53,93;70,62;95,91;99,97;100;99,78;1;0,998511905;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,36;99,96%;;NTT00159;TO'E;99,52;98,47;99,28;96,87;53,93;70,62;95,91;99,97;100;99,78;100,00%;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,36;99,96%;;;;;;;;;;;;;
;;;NTT00164;LEMARANG;99,69571429;99,40285714;99,70857143;99,05;53,81;72,89;97,79;99,95;99,66;99,97;1;0,99702381;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,96;99,93%;;NTT00164;LEMARANG;99,70;99,40;99,71;99,05;53,81;72,89;97,79;99,95;99,66;99,97;100,00%;99,70%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,96;99,93%;;;;;;;;;;;;;
;;;NTT00173;KALAMBA;99,93428571;99,91428571;99,54142857;99,97;55,91;70,8;97,32;99,89;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,13;100,00%;;NTT00173;KALAMBA;99,93;99,91;99,54;99,97;55,91;70,8;97,32;99,89;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,13;100,00%;;;;;;;;;;;;;
;;;NTT00174;MATAWAI PAWALI;99,93714286;99,92142857;99,69857143;99,97;49,71;70,8;98,83;99,81;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;NTT00174;MATAWAI PAWALI;99,94;99,92;99,70;99,97;49,71;70,8;98,83;99,81;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;;;;;;;;;;;;
;;;NTT00175;TANDULA JANGGA;99,96571429;99,85857143;99,55714286;99,97;58,23;70,62;96,74;99,8;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;NTT00175;TANDULA JANGGA;99,97;99,86;99,56;99,97;58,23;70,62;96,74;99,8;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;;;;;;;;;;;;
;;;NTT00176;PULU PANJANG;99,91857143;99,96;99,72285714;99,97;57,87;68,72;96,65;99,96;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;NTT00176;PULU PANJANG;99,92;99,96;99,72;99,97;57,87;68,72;96,65;99,96;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;;;;;;;;;;;;
;;;NTT00178;BILLA;99,89428571;99,95;99,69857143;99,67;49,49;70,42;96,74;99,82;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,89;100,00%;;NTT00178;BILLA;99,89;99,95;99,70;99,67;49,49;70,42;96,74;99,82;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,89;100,00%;;;;;;;;;;;;;
;;;NTT00179;KARITA;99,84285714;99,97;99,7;99,39;57,96;72,89;95,71;99,95;100;99,96;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,23;100,00%;;NTT00179;KARITA;99,84;99,97;99,70;99,39;57,96;72,89;95,71;99,95;100;99,96;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,23;100,00%;;;;;;;;;;;;;
;;;NTT00180;KUKI TALU;99,95285714;99,94428571;99,28428571;99,96;53,9;70,8;97,26;99,95;100;99,81;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;NTT00180;KUKI TALU;99,95;99,94;99,28;99,96;53,9;70,8;97,26;99,95;100;99,81;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;;;;;;;;;;;;
;;;NTT00181;TAPIL;99,75571429;99,8;99,51428571;99,34;54,16;70,83;97,17;100;99,9;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,96;100,00%;;NTT00181;TAPIL;99,76;99,80;99,51;99,34;54,16;70,83;97,17;100;99,9;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,96;100,00%;;;;;;;;;;;;;
;;;NTT00182;TARIMBANG;99,80571429;99,95285714;99,65428571;99,96;59,89;68,72;98,78;99,89;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;NTT00182;TARIMBANG;99,81;99,95;99,65;99,96;59,89;68,72;98,78;99,89;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;;;;;;;;;;;;
;;;NTT00184;PINDU HURANI;99,65;99,82285714;99,54571429;99,7;45,83;71,87;96,87;100;99,95;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,69;100,00%;;NTT00184;PINDU HURANI;99,65;99,82;99,55;99,7;45,83;71,87;96,87;100;99,95;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,69;100,00%;;;;;;;;;;;;;
;;;NTT00185;PRAING KAREHA;99,57142857;99,88142857;99,64285714;99,95;58,09;71,84;96,76;99,82;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,15;100,00%;;NTT00185;PRAING KAREHA;99,57;99,88;99,64;99,95;58,09;71,84;96,76;99,82;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,15;100,00%;;;;;;;;;;;;;
;;;NTT00186;WUDI PANDAK;99,86;99,83;99,52428571;99,69;54,16;71,87;97,91;100;100;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,08;100,00%;;NTT00186;WUDI PANDAK;99,86;99,83;99,52;99,69;54,16;71,87;97,91;100;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,08;100,00%;;;;;;;;;;;;;
