;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;NTB00061;KALAJENA;99,91428571;99,93714286;99,97428571;100;54,16;68,75;96,87;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,09;100,00%;;NTB00061;KALAJENA;99,91;99,94;99,97;100;54,16;68,75;96,87;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,09;100,00%;;;;;;;;;;;;;
;;;NTB00062;SENAWANG II;98,52857143;99,78857143;99,59428571;100;54,16;68,75;95,8;99,95;99,94;99,66;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,56;100,00%;;NTB00062;SENAWANG II;98,53;99,79;99,59;100;54,16;68,75;95,8;99,95;99,94;99,66;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,56;100,00%;;;;;;;;;;;;;
;;;NTB00063;EKAS BUANA;99,74857143;99,52714286;99,97142857;100;54,16;68,69;94,62;75,36;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,98;100,00%;;NTB00063;EKAS BUANA;99,75;99,53;99,97;100;54,16;68,69;94,62;75,36;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,98;100,00%;;;;;;;;;;;;;
;;;NTB00065;RIWO;95,45142857;99,45714286;96,74;100;58,33;68,75;96,8;99,94;99,87;99,61;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,17;100,00%;;NTB00065;RIWO;95,45;99,46;96,74;100;58,33;68,75;96,8;99,94;99,87;99,61;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,17;100,00%;;;;;;;;;;;;;
;;;NTB00067;OBEL - OBEL II;94,68;97;90,28285714;100;54,16;68,72;93,2;97,32;99,1;98,61;1;0,995535714;0,998511905;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;92,32;99,85%;;NTB00067;OBEL - OBEL II;94,68;97,00;90,28;100;54,16;68,72;93,2;97,32;99,1;98,61;100,00%;99,55%;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;92,32;99,85%;;;;;;;;;;;;;
;;;NTB00068;SAMBIK ELEN;96,72428571;99,68571429;99,15857143;99,97;54,16;66,66;95,83;99,81;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,91;100,00%;;NTB00068;SAMBIK ELEN;96,72;99,69;99,16;99,97;54,16;66,66;95,83;99,81;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,91;100,00%;;;;;;;;;;;;;
;;;NTB00070;PUNCAK JERINGO;98,90571429;99,83714286;99,37;100;58,33;55,68;97,91;99,97;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,38;100,00%;;NTB00070;PUNCAK JERINGO;98,91;99,84;99,37;100;58,33;55,68;97,91;99,97;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,38;100,00%;;;;;;;;;;;;;
;;;NTB00071;BATUDULANG II;97,89571429;99,77;98,96571429;100;54,16;66,66;93,71;99,58;99,97;99,71;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,08;100,00%;;NTB00071;BATUDULANG II;97,90;99,77;98,97;100;54,16;66,66;93,71;99,58;99,97;99,71;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,08;100,00%;;;;;;;;;;;;;
;;;NTB00072;KEREKEH II;98,31857143;99,67571429;99,37714286;99,97;54,16;68,67;94,75;99,89;99,94;94,78;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,21;100,00%;;NTB00072;KEREKEH II;98,32;99,68;99,38;99,97;54,16;68,67;94,75;99,89;99,94;94,78;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,21;100,00%;;;;;;;;;;;;;
;;;NTB00074;WOKO II;97,70571429;99,8;99,00428571;100;50;68,75;95,83;99,97;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,07;100,00%;;NTB00074;WOKO II;97,71;99,80;99,00;100;50;68,75;95,83;99,97;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,07;100,00%;;;;;;;;;;;;;
